condition_id,run_type,seed_label,taste,model,repeat_index,iterations_completed,final_score,final_aesthetic,final_novelty,final_parsimony,xm_gemini_3_flash_preview_aesthetic,xm_gemini_3_flash_preview_novelty,xm_gemini_3_flash_preview_parsimony,xm_gemini_3_flash_preview_total,xm_gpt_5_4_nano_aesthetic,xm_gpt_5_4_nano_novelty,xm_gpt_5_4_nano_parsimony,xm_gpt_5_4_nano_total,best_baseline_a_xm_gemini_3_flash_preview,best_baseline_b_xm_gemini_3_flash_preview,score_vs_baseline_a_gemini_3_flash_preview,score_vs_baseline_b_gemini_3_flash_preview,best_baseline_a_xm_gpt_5_4_nano,best_baseline_b_xm_gpt_5_4_nano,score_vs_baseline_a_gpt_5_4_nano,score_vs_baseline_b_gpt_5_4_nano,final_distinct_commands,final_nesting_depth,final_code_length,final_spatial_entropy,final_fill_ratio,score_drop_warnings,status,elapsed_ms,error
s1__t1__gpt_5_4_mini,evolution,Line,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",gpt-5.4-mini,0,100,8.6,8,3,0,2,2,,2.40,7,6,,8.20,5,7,-3.00,-5.00,7,8,0.00,-1.00,9,4,915,1.5954,0.0279,6,completed,1717481,
s1__t1__gpt_5_4_mini,evolution,Line,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",gpt-5.4-mini,1,100,9.48,8,2,3.5999999999999996,7,5,,8.00,9,7,,10.40,5,7,2.00,0.00,7,8,2.00,1.00,6,5,379,2.555,0.255,1,completed,796356,
s1__t1__gpt_5_4_mini,evolution,Line,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",gpt-5.4-mini,2,100,8,7,5,0,8,7,,9.40,8,7,,9.40,5,7,3.00,1.00,7,8,1.00,0.00,8,3,556,1.6827,0.4863,2,completed,1061773,
s1__t1__gpt_5_4_mini,evolution,Line,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",gpt-5.4-mini,3,100,10.96,9,5,3.2,8,4,,8.80,8,7,,9.40,5,7,3.00,1.00,7,8,1.00,0.00,6,5,392,2.3004,0.3321,2,completed,751675,
s1__t1__gpt_5_4_mini,evolution,Line,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",gpt-5.4-mini,4,100,9,9,0,0,4,4,,4.80,7,6,,8.20,5,7,-1.00,-3.00,7,8,0.00,-1.00,5,1,1390,0.7968,0.0249,0,completed,1309323,
s1__t1__gpt_5_4_mini,feedback_only,Line,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",gpt-5.4-mini,0,100,6.4,6,2,0,3,4,,3.80,8,7,,9.40,5,7,-2.00,-4.00,7,8,1.00,0.00,13,2,8599,1.0285,0.0533,0,completed,1933433,
s1__t1__gpt_5_4_mini,feedback_only,Line,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",gpt-5.4-mini,1,100,9,8,5,0,9,7,,10.40,9,7,,10.40,5,7,4.00,2.00,7,8,2.00,1.00,14,1,4152,2.511,0.5698,0,completed,1060421,
s1__t1__gpt_5_4_mini,feedback_only,Line,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",gpt-5.4-mini,2,100,3.2,3,1,0,2,2,,2.40,2,3,,2.60,5,7,-3.00,-5.00,7,8,-5.00,-6.00,12,2,7725,0.496,0.0111,0,completed,1718587,
s1__t1__gpt_5_4_mini,feedback_only,Line,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",gpt-5.4-mini,3,100,7.2,7,1,0,7,6,,8.20,9,7,,10.40,5,7,2.00,0.00,7,8,2.00,1.00,11,3,8542,2.218,0.3486,0,completed,1169000,
s1__t1__gpt_5_4_mini,feedback_only,Line,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",gpt-5.4-mini,4,100,7.8,7,4,0,8,7,,9.40,9,7,,10.40,5,7,3.00,1.00,7,8,2.00,1.00,10,3,5037,2.1796,0.4883,0,completed,1258300,
