condition_id,type,model,taste,seed_label,attempt_index,distinct_commands,nesting_depth,code_length,parsimony_score,spatial_entropy,fill_ratio,symmetry_score,bounding_box_coverage,latency_ms,xm_gemini_3_flash_preview_aesthetic,xm_gemini_3_flash_preview_novelty,xm_gpt_5_4_nano_aesthetic,xm_gpt_5_4_nano_novelty
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white works.,,0,11,2,4750,0,0.496,0.0087,0.9946,0.1065,14732,3,2,6,5
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white works.,,1,11,2,4724,0,0.9396,0.0181,0.9975,0.5683,13698,4,5,6,5
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white works.,,2,11,2,1843,0,0.4258,0.0057,0.9936,0.0875,5567,1,1,2,1
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white works.,,3,11,2,1282,0,1.2939,0.1696,0.8254,0.7346,5587,4,6,6,7
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white works.,,4,12,1,1984,0,0.6246,0.0055,0.9973,0.1646,8789,2,2,5,4
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white works.,,5,10,1,2679,0,0.2572,0.0081,0.9995,0,8114,1,1,1,1
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white works.,,6,10,2,3765,0,0.62,0.0183,0.9989,0.6967,11181,2,2,1,2
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white works.,,7,13,3,3253,0,0.6075,0.0099,0.9885,0.2681,8741,2,2,4,3
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white works.,,8,11,1,2302,0,1.4438,0.0845,0.9274,0.6025,8233,5,4,6,7
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white works.,,9,11,1,2976,0,0.2572,0.0092,0.9962,0,11187,1,1,1,1
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white works.,Line,0,11,1,537,0,0.0737,0.0052,0.9996,0.3348,3273,2,1,4,3
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white works.,Line,1,11,1,1014,0,1.6285,0.2968,0.9352,0.6658,3382,4,3,6,7
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white works.,Line,2,11,1,1093,0,1.6579,0.0657,0.9896,0.5812,3736,3,2,7,6
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white works.,Line,3,11,2,1411,0,1.3227,0.085,0.9643,0.7673,4617,3,4,5,4
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white works.,Line,4,9,2,902,0,1.1469,0.0737,0.9604,0.3368,3267,5,6,8,6
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white works.,Line,5,10,2,536,0,1.3269,0.1954,0.8028,0.7719,4103,4,3,7,6
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white works.,Line,6,10,3,1587,0,0.8275,0.049,0.9894,0.2354,5093,4,5,6,5
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white works.,Line,7,13,1,1761,0,1.0089,0.0421,0.9807,0.599,5367,4,5,7,6
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white works.,Line,8,10,2,1138,0,0.5959,0.0068,0.9967,0.6553,3613,3,2,6,5
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white works.,Line,9,11,1,421,0,1.0367,0.0517,0.9871,0.4081,1983,4,5,6,5
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white works.,Line,0,11,1,1061,0,0.636,0.0162,0.9961,0.4677,4148,3,4,4,5
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white works.,Line,1,11,2,722,0,0.3662,0.0054,0.9961,0.1042,3259,1,1,3,2
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white works.,Line,2,10,1,745,0,0.9423,0.018,0.9967,0.6693,2720,2,2,4,4
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white works.,Line,3,11,2,1486,0,0.6268,0.0483,0.9853,0.737,5302,3,2,6,4
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white works.,Line,4,12,2,1724,0,0.1474,0.0012,0.9989,0.1584,5766,1,1,1,2
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white works.,Line,5,11,1,1816,0,0.687,0.0073,0.9926,0.4477,7244,2,2,6,4
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white works.,Line,6,11,1,998,0,0.6577,0.0199,0.9949,0.5755,5301,2,3,2,3
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white works.,Line,7,12,1,588,0,0.2338,0.0029,0.9982,0.1177,3251,1,1,1,1
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white works.,Line,8,11,2,1045,0,0.6137,0.0064,0.9955,0.4555,3818,2,3,4,5
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white works.,Line,9,9,1,1695,0,1.422,0.0863,0.979,0.7079,6373,4,3,7,6
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white works.,Line,0,11,2,2209,0,0.3941,0.0051,0.9965,0.0487,7756,2,2,3,2
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white works.,Line,1,10,2,1290,0,0.1288,0.0155,0.9866,0.7654,4185,4,3,6,4
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white works.,Line,2,10,2,795,0,0.3766,0.0046,0.9977,0.079,3552,1,1,2,1
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white works.,Line,3,10,2,1190,0,0.2572,0.0081,0.9995,0,3915,1,1,1,1
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white works.,Line,4,12,1,1730,0,1.4883,0.0679,0.9697,0.535,6557,6,7,8,6
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white works.,Line,5,9,2,1192,0,0.7512,0.0065,0.9955,0.6068,3987,2,2,4,3
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white works.,Line,6,12,2,474,2.8,0.7152,0.0274,0.9979,0.0331,2247,1,1,2,1
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white works.,Line,7,9,1,1546,0,0.7424,0.0097,0.9923,0.2751,4582,4,3,6,5
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white works.,Line,8,11,2,1258,0,0.5151,0.0076,0.9964,0.1672,5991,3,4,4,3
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,In the style of Bridget Riley's colour period — vibrant parallel stripes and curves in saturated colours creating optical movement. Ignore her earlier black and white works.,Line,9,10,2,1231,0,0.5163,0.0072,0.9978,0.2006,4372,3,4,6,5
