condition_id,run_type,seed_label,taste,model,repeat_index,iterations_completed,final_score,final_aesthetic,final_novelty,final_parsimony,cross_model_score,cross_model_judge,best_baseline_a_xm,best_baseline_b_xm,score_vs_baseline_a,score_vs_baseline_b,final_distinct_commands,final_nesting_depth,final_code_length,final_spatial_entropy,final_fill_ratio,score_drop_warnings,status,elapsed_ms,error
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,evolution,Spiral,Intricate asymmetric patterns with heavy use of color,gemini-2.5-flash-preview-09-2025,0,10,32.8,8,6,6.4,1,gemini-2.5-flash-preview-09-2025,3,6,-2.00,-5.00,11,2,318,0,0,3,completed,290770,
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,evolution,Spiral,Intricate asymmetric patterns with heavy use of color,gemini-2.5-flash-preview-09-2025,1,10,19.8,5,3,4.4,1,gemini-2.5-flash-preview-09-2025,3,6,-2.00,-5.00,10,4,496,0,0,3,completed,296624,
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,evolution,Spiral,Intricate asymmetric patterns with heavy use of color,gemini-2.5-flash-preview-09-2025,2,10,21.4,7,0,7.2,,gemini-2.5-flash-preview-09-2025,3,6,,,6,3,286,2.4955,0.5795,4,completed,264233,
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,feedback_only,Spiral,Intricate asymmetric patterns with heavy use of color,gemini-2.5-flash-preview-09-2025,0,10,19,1,1,8,1,gemini-2.5-flash-preview-09-2025,3,6,-2.00,-5.00,9,2,218,0,0,3,completed,198090,
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,feedback_only,Spiral,Intricate asymmetric patterns with heavy use of color,gemini-2.5-flash-preview-09-2025,1,10,18.2,1,1,7.6,1,gemini-2.5-flash-preview-09-2025,3,6,-2.00,-5.00,10,2,295,0,0,1,completed,178092,
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,feedback_only,Spiral,Intricate asymmetric patterns with heavy use of color,gemini-2.5-flash-preview-09-2025,2,10,26.6,5,3,7.8,6,gemini-2.5-flash-preview-09-2025,3,6,3.00,0.00,11,1,300,1.928,0.243,3,completed,186967,
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2di,evolution,Spiral,Intricate asymmetric patterns with heavy use of color,gemini-2.5-flash-preview-09-2025,0,10,36.4,8,7,7.2,,gemini-2.5-flash-preview-09-2025,3,6,,,10,3,361,2.4513,0.5223,1,completed,246542,
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2di,evolution,Spiral,Intricate asymmetric patterns with heavy use of color,gemini-2.5-flash-preview-09-2025,1,10,31,3,7,7,3,gemini-2.5-flash-preview-09-2025,3,6,0.00,-3.00,11,2,376,1.4335,0.2124,3,completed,228273,
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2di,evolution,Spiral,Intricate asymmetric patterns with heavy use of color,gemini-2.5-flash-preview-09-2025,2,10,39.8,9,7,8.4,1,gemini-2.5-flash-preview-09-2025,3,6,-2.00,-5.00,8,2,254,0,0,3,completed,283775,
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2di,feedback_only,Spiral,Intricate asymmetric patterns with heavy use of color,gemini-2.5-flash-preview-09-2025,0,10,39.4,7,8,8.2,,gemini-2.5-flash-preview-09-2025,3,6,,,8,1,294,2.298,0.3416,2,completed,185418,
