condition_id,type,model,taste,seed_label,attempt_index,distinct_commands,nesting_depth,code_length,spatial_entropy,fill_ratio,symmetry_score,bounding_box_coverage,latency_ms,xm_gemini_2_5_flash_aesthetic,xm_gemini_2_5_flash_novelty
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,0,13,1,1409,0,0,1,0,6238,,
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,1,10,1,1136,0.6093,0.0619,0.9554,0.6734,5517,,
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,2,13,1,2973,2.4628,0.4048,0.7886,0.7504,11255,,
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,3,11,0,515,2.2803,0.2753,0.8098,0.7425,2682,,
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,4,13,2,1399,0.4851,0.0252,0.9984,0.742,5659,,
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,5,13,2,1027,0.5545,0.0798,0.9708,0.5715,4229,,
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,6,13,1,976,0.2313,0.0255,0.9796,0.7144,4053,,
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,7,13,1,929,0.9898,0.0262,0.989,0.6859,4033,,
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,8,12,2,2461,0.7386,0.5389,0.976,0.7569,8794,,
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,9,14,2,856,0,0,1,0,3140,,
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,0,11,1,1581,0.9653,0.0121,0.994,0.4457,6201,,
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,1,12,1,1983,0.6045,0.0076,0.999,0.7559,7644,,
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,2,12,2,2128,0.8584,0.0454,0.9966,0.6518,9253,,
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,3,13,1,1635,1.2278,0.0553,0.9742,0.5773,6932,,
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,4,10,2,2136,0.5625,0.0237,0.992,0.5975,8069,,
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,5,10,2,935,1.615,0.1349,0.9425,0.6402,4394,,
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,6,11,1,2016,0.6349,0.0333,0.9887,0.2573,8348,,
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,7,11,1,1879,0.6217,0.0598,0.9404,0.4471,7898,,
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,8,12,2,2337,0.9391,0.0163,0.9979,0.4751,8047,,
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,9,12,1,1227,1.6182,0.0899,0.978,0.3771,5604,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,0,12,2,392,1.695,0.1142,0.9246,0.4891,2254,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,1,9,1,350,1.061,0.1241,0.9513,0.7744,2114,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,2,9,2,424,2.3604,0.4257,0.8468,0.6624,2455,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,3,10,2,322,1.0248,0.2066,0.9714,0.6515,1991,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,4,11,1,457,0.9311,0.0626,0.9307,0.7067,2186,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,5,9,1,354,2.2294,0.3372,0.9293,0.6195,2035,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,6,12,1,441,1.3807,0.1213,0.9231,0.7216,2388,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,7,11,1,400,1.8737,0.3919,0.8412,0.6473,2189,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,8,9,2,305,0.1106,0.0017,0.9976,0.6071,1869,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,9,11,2,603,0.9051,0.0768,0.983,0.7184,2666,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,0,7,0,325,0.6038,0.0776,0.8903,0.6504,1821,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,1,12,2,710,1.7127,0.1334,0.875,0.675,2996,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,2,10,2,400,1.2667,0.1627,0.9424,0.5284,2118,,
