condition_id,seed_label,taste,model,repeat_index,iterations_completed,final_score,final_aesthetic,final_novelty,cross_model_score,cross_model_judge,best_baseline_a_xm,best_baseline_b_xm,score_vs_baseline_a,score_vs_baseline_b,final_distinct_commands,final_nesting_depth,final_code_length,final_spatial_entropy,final_fill_ratio,status,elapsed_ms,error
s1__t1__gpt_5_4_mini__m5v2db,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,0,15,9,8,2,,gemini-2.5-flash,,,,,4,0,91,2.5838,0.404,completed,53078,
s1__t1__gpt_5_4_mini__m5v2db,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,1,15,9,8,2,,gemini-2.5-flash,,,,,8,0,260,2.2459,0.2182,completed,59003,
s1__t1__gpt_5_4_mini__m5v2db,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,2,15,10,8,4,,gemini-2.5-flash,,,,,5,0,57,2.4995,0.5085,completed,49357,
s1__t1__gpt_5_4_mini__m5v2db,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,0,15,7,5,4,,gemini-2.5-flash,,,,,9,0,137,0.6898,0.0201,completed,40226,
s1__t1__gpt_5_4_mini__m5v2db,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,1,15,11,9,4,,gemini-2.5-flash,,,,,2,0,82,1.8749,0.5948,completed,48204,
s1__t1__gpt_5_4_mini__m5v2db,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,2,15,10.5,9,3,,gemini-2.5-flash,,,,,3,0,54,2.0674,0.4062,completed,49228,
s1__t1__gpt_5_4_mini__m5v2rb,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,0,15,8.2,8,4,,gemini-2.5-flash,,,,,3,0,37,1.1749,0.0499,completed,53212,
s1__t1__gpt_5_4_mini__m5v2rb,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,1,15,6.387799999999999,8,3,,gemini-2.5-flash,,,,,4,0,126,2.4504,0.4814,completed,54472,
s1__t1__gpt_5_4_mini__m5v2rb,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,2,15,6.723999999999998,7,6,,gemini-2.5-flash,,,,,3,0,30,2.47,0.2934,completed,51506,
s1__t1__gpt_5_4_mini__m5v2rb,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,0,15,11,9,4,,gemini-2.5-flash,,,,,3,0,34,2.6354,0.3792,completed,42571,
s1__t1__gpt_5_4_mini__m5v2rb,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,1,15,10.5,8,5,,gemini-2.5-flash,,,,,2,0,87,2.5608,0.3792,completed,42550,
s1__t1__gpt_5_4_mini__m5v2rb,Spiral,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,2,15,11,7,8,,gemini-2.5-flash,,,,,3,0,35,2.4021,0.348,completed,39704,
s1__t2__gpt_5_4_mini__m5v2db,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,0,15,3.5,3,1,,gemini-2.5-flash,,,,,3,0,59,2.389,0.5497,completed,48872,
s1__t2__gpt_5_4_mini__m5v2db,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,1,15,9,8,2,,gemini-2.5-flash,,,,,3,0,115,1.0093,0.0246,completed,50729,
s1__t2__gpt_5_4_mini__m5v2db,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,2,15,9.5,6,7,,gemini-2.5-flash,,,,,4,0,144,1.8656,0.175,completed,54643,
s1__t2__gpt_5_4_mini__m5v2db,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,0,15,8.5,8,1,,gemini-2.5-flash,,,,,6,0,334,0.7207,0.0102,completed,46310,
s1__t2__gpt_5_4_mini__m5v2db,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,1,15,8,6,4,,gemini-2.5-flash,,,,,3,0,49,2.372,0.2975,completed,50264,
