condition_id,run_type,seed_label,taste,model,repeat_index,iterations_completed,final_score,final_aesthetic,final_novelty,final_parsimony,xm_gemini_3_flash_preview_aesthetic,xm_gemini_3_flash_preview_novelty,xm_gpt_5_4_nano_aesthetic,xm_gpt_5_4_nano_novelty,best_baseline_a_xm_gemini_3_flash_preview,best_baseline_b_xm_gemini_3_flash_preview,score_vs_baseline_a_gemini_3_flash_preview,score_vs_baseline_b_gemini_3_flash_preview,best_baseline_a_xm_gpt_5_4_nano,best_baseline_b_xm_gpt_5_4_nano,score_vs_baseline_a_gpt_5_4_nano,score_vs_baseline_b_gpt_5_4_nano,final_distinct_commands,final_nesting_depth,final_code_length,final_spatial_entropy,final_fill_ratio,score_drop_warnings,status,elapsed_ms,error
s1__t1__gpt_5_4_mini__m7v2rb,evolution,Line,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",gpt-5.4-mini,0,100,10.44,8,5,4.8,3,2,8,7,7,8,-4.00,-5.00,8,7,0.00,1.00,12,2,451,2.2533,0.2093,1,completed,1281258,
s1__t1__gpt_5_4_mini__m7v2rb,evolution,Line,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",gpt-5.4-mini,1,100,9.4,8,7,0,5,4,8,7,7,8,-2.00,-3.00,8,7,0.00,1.00,12,2,930,1.0555,0.108,0,completed,858254,
s1__t1__gpt_5_4_mini__m7v2rb,evolution,Line,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",gpt-5.4-mini,2,100,6.4,5,7,0,3,2,9,6,7,8,-4.00,-5.00,8,7,1.00,2.00,12,2,1445,0.892,0.0132,1,completed,875359,
s1__t1__gpt_5_4_mini__m7v2rb,feedback_only,Line,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",gpt-5.4-mini,0,100,7.8,7,4,0,6,7,7,6,7,8,-1.00,-2.00,8,7,-1.00,0.00,16,4,4951,0.7088,0.0586,3,completed,984890,
s1__t1__gpt_5_4_mini__m7v2rb,feedback_only,Line,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",gpt-5.4-mini,1,100,2.16,1,1,3.2,1,1,1,1,7,8,-6.00,-7.00,8,7,-7.00,-6.00,12,2,704,0,0,1,completed,531514,
s1__t1__gpt_5_4_mini__m7v2rb,feedback_only,Line,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",gpt-5.4-mini,2,100,4,2,4,4,2,1,3,2,7,8,-5.00,-6.00,8,7,-5.00,-4.00,14,3,840,0.4876,0.021,1,completed,934716,
s1__t1__gpt_5_4_mini__m7v5rb,evolution,Line,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",gpt-5.4-mini,0,100,10.879999999999999,8,6,5.6,5,4,8,7,7,8,-2.00,-3.00,8,7,0.00,1.00,11,3,492,2.0162,0.097,5,completed,940482,
s1__t1__gpt_5_4_mini__m7v5rb,evolution,Line,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",gpt-5.4-mini,1,100,9.4,8,7,0,2,2,7,6,7,8,-5.00,-6.00,8,7,-1.00,0.00,11,2,788,1.0167,0.0168,4,completed,1663947,
s1__t1__gpt_5_4_mini__m7v5rb,evolution,Line,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",gpt-5.4-mini,2,100,10.4,9,7,0,6,5,9,7,7,8,-1.00,-2.00,8,7,1.00,2.00,12,2,673,2.3365,0.4637,1,completed,1909285,
s1__t1__gpt_5_4_mini__m7v5rb,feedback_only,Line,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",gpt-5.4-mini,0,100,9.74,7,5,5.8,8,7,8,7,7,8,1.00,0.00,8,7,0.00,1.00,11,1,3143,1.6204,0.2942,4,completed,716086,
s1__t1__gpt_5_4_mini__m7v5rb,feedback_only,Line,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",gpt-5.4-mini,1,100,3.6,2,8,0,2,2,2,1,7,8,-5.00,-6.00,8,7,-6.00,-5.00,13,2,7709,0.1396,0.0052,2,completed,1396584,
s1__t1__gpt_5_4_mini__m7v5rb,feedback_only,Line,"A pattern where very simple repeated elements interact to produce visual complexity that seems impossible given the simplicity of the parts — moiré effects, unexpected curves from straight lines, or density gradients from uniform spacing",gpt-5.4-mini,2,100,1.2,1,1,0,1,1,1,1,7,8,-6.00,-7.00,8,7,-7.00,-6.00,14,2,1576,0,0,0,completed,660496,
