condition_id,type,model,taste,seed_label,attempt_index,distinct_commands,nesting_depth,code_length,spatial_entropy,fill_ratio,symmetry_score,bounding_box_coverage,latency_ms,xm_gemini_3_flash_preview_aesthetic,xm_gemini_3_flash_preview_novelty
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,0,14,1,1433,2.5397,0.3353,0.9754,0.7744,8400,,
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,1,12,1,1656,1.0242,0.014,0.9851,0.543,7094,,
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,2,12,1,848,0.0369,0,1,0.4117,3892,,
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,3,13,2,1008,0,0,1,0,4591,,
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,4,12,1,973,1.4905,0.1683,0.8599,0.7177,4538,,
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,5,15,1,1345,0.6765,0.0044,0.9996,0.0023,5922,,
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,6,12,2,1754,0.1763,0.0154,0.9976,0.5833,6709,,
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,7,11,2,883,1.7969,0.2695,0.8937,0.6204,4358,,
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,8,12,1,1455,0.6361,0.0442,0.9564,0.402,5687,,
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,9,14,1,1382,0.4488,0.0037,0.9978,0.1749,5543,,
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,0,13,1,1484,0.9177,0.0385,0.9908,0.7204,6409,,
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,1,13,1,1184,1.1509,0.0123,0.9995,0.753,5505,,
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,2,12,1,1121,0.6035,0.0092,0.9931,0.64,5174,,
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,3,13,1,953,0.4074,0.0044,0.9988,0.3143,4757,,
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,4,15,1,1399,1.0246,0.0569,0.9532,0.7629,6744,,
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,5,12,1,1080,1.7577,0.2301,0.9879,0.7676,5739,,
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,6,11,1,1492,0.9938,0.0224,0.9931,0.2509,6287,,
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,7,11,1,2123,1.38,0.0601,0.9749,0.5327,8041,,
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,8,10,3,1666,0,0,1,0,6797,,
t2__gpt_5_4_mini,from_scratch,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,,9,10,2,1704,0.3761,0.0116,0.9982,0.2171,6681,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,0,11,2,514,2.4517,0.4073,0.8223,0.7063,2431,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,1,8,2,385,1.77,0.1711,0.8696,0.7744,1936,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,2,12,2,542,2.1917,0.3301,0.9745,0.7744,3198,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,3,10,2,358,1.8641,0.3338,0.9385,0.7744,1942,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,4,12,2,598,1.4077,0.1081,0.9746,0.7744,2745,,
